epoch,loss,train-acc,test-acc
0,21868.23671042919,0.50406,0.4726
1,14806.55044221878,0.6284,0.6196
2,11888.928240716457,0.71322,0.7013
3,10190.96955010295,0.7618,0.7309
4,9021.03841689229,0.78248,0.7601
5,8120.218821823597,0.79278,0.7744
6,7409.845041632652,0.80688,0.7774
7,6817.746244549751,0.82458,0.7965
8,6302.031856417656,0.83752,0.8126
9,5871.289430886507,0.85314,0.8164
10,5569.253422647715,0.85666,0.8222
11,5273.619058698416,0.8796,0.8381
12,4992.4532797932625,0.86146,0.8243
13,4720.497207552195,0.88252,0.8454
14,4938.602403879166,0.8802,0.8415
15,4666.949491083622,0.8865,0.8508
16,4426.320658355951,0.89742,0.846
17,4219.849807143211,0.89598,0.8545
18,4051.8858047425747,0.9066,0.8643
19,3827.5084259808064,0.90108,0.8553
20,3667.0964268147945,0.90678,0.8622
21,3495.0931654274464,0.91652,0.8631
22,3370.257083237171,0.91724,0.8652
23,3224.6117212474346,0.91804,0.8627
24,3086.4732661247253,0.92478,0.8682
25,2967.2688560783863,0.92972,0.8718
26,2803.6607659757137,0.93256,0.8753
27,2703.884182035923,0.93716,0.8805
28,2596.2520091831684,0.93588,0.8741
29,2564.8824678361416,0.94124,0.8742
30,2393.3642817139626,0.9442,0.8793
31,2293.6748382747173,0.94424,0.879
32,2204.883248656988,0.94568,0.8748
33,2127.878351330757,0.9452,0.8721
34,2046.3011408150196,0.94856,0.8722
35,2019.8489929437637,0.95358,0.8731
36,1939.1443285048008,0.9564,0.8826
37,1874.3297050893307,0.95656,0.8792
38,1813.1336373090744,0.95672,0.8813
39,1713.8857509195805,0.95988,0.8826
40,1653.8942945599556,0.9601,0.8818
41,1639.1196952462196,0.96132,0.8859
42,1539.052393913269,0.96354,0.8862
43,1537.1726240217686,0.95996,0.8788
44,1508.8919290602207,0.96526,0.8813
45,1413.045794725418,0.96582,0.8834
46,1341.5829364061356,0.96974,0.8896
47,1352.2646905779839,0.96918,0.8866
48,1277.925751209259,0.9708,0.8843
49,1213.0683834552765,0.96754,0.8843
50,1195.4208313822746,0.9697,0.8943
51,1166.3185214400291,0.97164,0.8885
52,1151.70706564188,0.97508,0.8911
53,1121.918556213379,0.97128,0.8911
54,1084.5647850632668,0.97426,0.8924
55,993.4563600420952,0.9769,0.8925
56,1004.7974395751953,0.97172,0.8837
57,990.9520561695099,0.97498,0.8873
58,958.1126499772072,0.97742,0.8869
59,936.6713905334473,0.97724,0.8895
60,884.7482527196407,0.97428,0.89
61,865.4991028904915,0.97738,0.8863
62,872.867794662714,0.9792,0.8893
63,828.8267093300819,0.98034,0.888
64,815.366974145174,0.97818,0.8968
65,798.2474646866322,0.98186,0.8948
66,788.2242227196693,0.98122,0.8919
67,742.8772013783455,0.98358,0.8964
68,756.6741146445274,0.97808,0.8918
69,761.8327037096024,0.9798,0.8922
70,700.8241182565689,0.9797,0.8899
71,729.116880595684,0.97942,0.8855
72,663.9544041752815,0.98008,0.8874
74,641.7365679740906,0.9853,0.8916
75,629.4005218148232,0.98302,0.8921
76,624.1901452541351,0.98708,0.8933
77,578.3139561414719,0.9841,0.8958
78,610.4724397063255,0.98562,0.8945
79,580.1241545081139,0.98452,0.8937
80,584.2010064125061,0.98436,0.8916
81,554.0486049056053,0.98736,0.8956
82,573.7850733399391,0.9864,0.8996
83,569.8774853050709,0.98452,0.8927
84,533.4674760103226,0.98854,0.8961
85,518.4976990222931,0.98774,0.8966
86,485.89964187145233,0.98682,0.8932
87,484.1133326292038,0.98634,0.8909
88,497.6974439024925,0.9881,0.8944
89,462.51804703474045,0.9891,0.8964
90,449.57564663887024,0.98772,0.8918
91,444.2469329237938,0.98748,0.8943
92,443.37862902879715,0.9892,0.8971
93,466.2854926586151,0.98582,0.8936
94,433.3622879385948,0.9888,0.8972
95,455.3627676963806,0.98722,0.8944
96,427.9851993918419,0.99054,0.9024
97,435.3735371828079,0.99078,0.8976
98,408.23270332813263,0.98804,0.893
99,419.9076403975487,0.9908,0.9003
100,408.0513721704483,0.99024,0.8994
101,372.3528090119362,0.99088,0.8953
102,343.59898018836975,0.9898,0.895
103,397.60269966721535,0.99002,0.8978
104,388.33160412311554,0.98526,0.8877
105,364.9158010482788,0.99062,0.8912
106,361.10343074798584,0.99048,0.8981
107,381.36252677440643,0.99226,0.9032
108,388.08675360679626,0.98946,0.8926
109,342.5336412191391,0.99084,0.9008
110,355.9033296108246,0.9914,0.8998
111,308.63743621110916,0.99144,0.8997
112,336.22365432977676,0.9896,0.8995
113,340.8754305243492,0.9909,0.8977
114,310.59889459609985,0.99086,0.9025
115,312.0948477983475,0.99174,0.8952
